+---------------------------------------------+------------+----+
|                     term                    |   docID    | df |
|           ('result', 'of', 'the')           |   ['1']    | 1  |
|         ('result', 'they', 'rarely')        |   ['1']    | 1  |
|      ('richmond', 'and', 'washington')      |   ['2']    | 1  |
|          ('rises', 'and', 'cools')          |   ['1']    | 1  |
|           ('rivers', 'as', 'far')           |   ['2']    | 1  |
|           ('roads', 'area', 'and')          |   ['2']    | 1  |
|       ('rotating', 'storm', 'system')       |   ['1']    | 1  |
|         ('rotating', 'winds', 'of')         |   ['1']    | 1  |
|           ('rotation', 'as', 'a')           |   ['1']    | 1  |
|          ('rotation', 'as', 'air')          |   ['1']    | 1  |
|        ('round', 'their', 'central')        |   ['1']    | 1  |
|          ('rural', 'areas', 'were')         |   ['2']    | 1  |
|       ('saturation', 'this', 'energy')      |   ['1']    | 1  |
|           ('seas', 'refers', 'to')          |   ['1']    | 1  |
|        ('season', 'isabel', 'formed')       |   ['2']    | 1  |
|          ('season', 'the', 'ninth')         |   ['2']    | 1  |
|       ('second', 'major', 'hurricane')      |   ['2']    | 1  |
|         ('september', '11', 'after')        |   ['2']    | 1  |
|          ('september', '18', 'it')          |   ['2']    | 1  |
|           ('september', '6', 'in')          |   ['2']    | 1  |
|       ('service', 'was', 'disrupted')       |   ['2']    | 1  |
|         ('several', 'days', 'some')         |   ['2']    | 1  |
|           ('shapes', 'of', 'the')           |   ['1']    | 1  |
|           ('shear', 'and', 'warm')          |   ['2']    | 1  |
|          ('shores', 'of', 'rivers')         |   ['2']    | 1  |
|            ('simply', 'as', 'or')           |   ['1']    | 1  |
|          ('simply', 'cyclone', 'a')         |   ['1']    | 1  |
|          ('some', 'more', 'rural')          |   ['2']    | 1  |
|        ('source', 'differs', 'from')        |   ['1']    | 1  |
|     ('south', 'american', 'continents')     |   ['1']    | 1  |
|          ('south', 'pacific', 'or')         |   ['1']    | 1  |
|      ('southern', 'hemisphere', 'the')      |   ['1']    | 1  |
| ('southwestern', 'quartersphere', 'mainly') |   ['1']    | 1  |
|       ('spiral', 'arrangement', 'of')       |   ['1']    | 1  |
|      ('steadily', 'strengthened', 'to')     |   ['2']    | 1  |
|        ('storm', 'cyclonic', 'storm')       |   ['1']    | 1  |
|       ('storm', 'fifth', 'hurricane')       |   ['2']    | 1  |
|          ('storm', 'surge', 'from')         |   ['2']    | 1  |
|     ('storm', 'system', 'characterized')    |   ['1']    | 1  |
|     ('storm', 'tropical', 'depression')     |   ['1']    | 1  |
|        ('storms', 'are', 'referred')        |   ['1']    | 1  |
|           ('storms', 'such', 'as')          |   ['1']    | 1  |
|        ('strength', 'a', 'tropical')        |   ['1']    | 1  |
|       ('strengthened', 'to', 'reach')       |   ['2']    | 1  |
|       ('strong', 'rotating', 'winds')       |   ['1']    | 1  |
|          ('strong', 'winds', 'and')         |   ['1']    | 1  |
|       ('strongest', 'hurricane', 'in')      |   ['2']    | 1  |
|         ('such', 'as', 'noreasters')        |   ['1']    | 1  |
|      ('surface', 'which', 'ultimately')     |   ['1']    | 1  |
|         ('surge', 'from', 'isabel')         |   ['2']    | 1  |
|      ('system', 'characterized', 'by')      |   ['1']    | 1  |
|         ('systems', 'which', 'form')        |   ['1']    | 1  |
|   ('temperature', 'contrasts', 'tropical')  |   ['1']    | 1  |
|           ('that', 'occurs', 'in')          |   ['1']    | 1  |
|        ('that', 'of', 'mid-latitude')       |   ['1']    | 1  |
|         ('that', 'produce', 'heavy')        |   ['1']    | 1  |
|         ('the', '2003', 'atlantic')         |   ['2']    | 1  |
|          ('the', 'african', 'and')          |   ['1']    | 1  |
|         ('the', 'atlantic', 'ocean')        |   ['1']    | 1  |
|            ('the', 'axis', 'of')            |   ['1']    | 1  |
|          ('the', 'benguela', 'and')         |   ['1']    | 1  |
|           ('the', 'cape', 'verde')          |   ['2']    | 1  |
|        ('the', 'conservation', 'of')        |   ['1']    | 1  |
|        ('the', 'coriolis', 'effect')        |   ['1']    | 1  |
|      ('the', 'costliest', 'deadliest')      |   ['2']    | 1  |
|           ('the', 'damage', 'and')          |   ['2']    | 1  |
|        ('the', 'deaths', 'occurred')        |   ['2']    | 1  |
|        ('the', 'earths', 'rotation')        |   ['1']    | 1  |
|           ('the', 'effects', 'of')          |   ['2']    | 1  |
|        ('the', 'equator', 'tropical')       |   ['1']    | 1  |
|         ('the', 'evaporation', 'of')        |   ['1']    | 1  |
|      ('the', 'geographical', 'origin')      |   ['1']    | 1  |
|         ('the', 'hampton', 'roads')         |   ['2']    | 1  |
|        ('the', 'hurricane', 'about')        |   ['2']    | 1  |
